Task id ,Task Language,Techniques ,Model ,CodeBleu
636766a91a6d9265ec0175c2,Java,Naive ,Claude ,1
636766f11a6d9265ec017658,Java,Naive ,Claude ,0.8207
636767041a6d9265ec017911,Java,Naive ,Claude ,0.7899
636767041a6d9265ec01790f,Java,Naive ,Claude,0.8767
6367676c1a6d9265ec01820b,Java,Naive ,Claude,0.8287
636767691a6d9265ec0181a6,Java,Naive ,Claude,0.79
636767dc1a6d9265ec0186be,Java,Naive ,Claude,0.733
636767841a6d9265ec0183e8,Java,Naive ,Claude,0.5586
636766a91a6d9265ec0175ae,Java,Naive ,Claude,0.8028
636767031a6d9265ec0178dd,Java,Naive ,Claude,0.8039
6367667d1a6d9265ec01741d,Java,Naive ,Claude,0.821
636767121a6d9265ec017b0a,Java,Naive ,Claude,0.8189
636767a41a6d9265ec01856c,Java,Naive ,Claude,0.7726
6367674a1a6d9265ec017da9,Java,Naive ,Claude,0.7147
636767a41a6d9265ec01857e,Java,Naive ,Claude,0.9234
6306292a52e177c0ba469f41,Python,Naive ,Claude,0.7981
62b45665d7d32e5b55cc8365,Python,Naive ,Claude,0.4797
62b87af69a0c4fa8b80b351a,Python,Naive ,Claude,0.756
62b86707b4d922cb0e688c2a,Python,Naive ,Claude,0.5537
62ece4992e6aefcf4aabbd8a,Python,Naive ,Claude,0.4125
6306092d73426c38ae68ad06,Python,Naive ,Claude,0.8054
62b87d24d292efb640a5566d,Python,Naive ,Claude,0.6589
62b4567ed7d32e5b55cc83d9,Python,Naive ,Claude,0.3838
62ece4992e6aefcf4aabbd84,Python,Naive ,Claude,0.6157
62b87d23d292efb640a55667,Python,Naive ,Claude,0.6967
6306093273426c38ae68ad15,Python,Naive ,Claude,0.1277
62b8d23948ba5a41d1c3f498,Python,Naive ,Claude,0.6683
62b87d23d292efb640a5566b,Python,Naive ,Claude,0.3015
62b463303879012d19481579,Python,Naive ,Claude,0.5671
62b4631b3879012d194814dd,Python,Naive ,Claude,0.4632
636766a91a6d9265ec0175c2,Java,Chain of Thought,Claude,1
636766f11a6d9265ec017658,Java,Chain of Thought,Claude,0.8207
636767041a6d9265ec017911,Java,Chain of Thought,Claude,0.7899
636767041a6d9265ec01790f,Java,Chain of Thought,Claude,0.8767
6367676c1a6d9265ec01820b,Java,Chain of Thought,Claude,0.8287
636767691a6d9265ec0181a6,Java,Chain of Thought,Claude,0.79
636767dc1a6d9265ec0186be,Java,Chain of Thought,Claude,0.733
636767841a6d9265ec0183e8,Java,Chain of Thought,Claude,0.5586
636766a91a6d9265ec0175ae,Java,Chain of Thought,Claude,0.8028
636767031a6d9265ec0178dd,Java,Chain of Thought,Claude,0.8039
6367667d1a6d9265ec01741d,Java,Chain of Thought,Claude,0.821
636767121a6d9265ec017b0a,Java,Chain of Thought,Claude,0.8189
636767a41a6d9265ec01856c,Java,Chain of Thought,Claude,0.7726
6367674a1a6d9265ec017da9,Java,Chain of Thought,Claude,0.714
636767a41a6d9265ec01857e,Java,Chain of Thought,Claude,0.9234
6306292a52e177c0ba469f41,Python,Chain of Thought,Claude,0.7981
62b45665d7d32e5b55cc8365,Python,Chain of Thought,Claude,0.4635
62b87af69a0c4fa8b80b351a,Python,Chain of Thought,Claude,0.756
62b86707b4d922cb0e688c2a,Python,Chain of Thought,Claude,0.5537
62ece4992e6aefcf4aabbd8a,Python,Chain of Thought,Claude,0.4125
6306092d73426c38ae68ad06,Python,Chain of Thought,Claude,0.8054
